user1,user2,similarity
198462,263013,1.0
40479,198462,1.0
38929,322547,1.0
63309,168141,1.0
107031,263013,1.0
137812,181530,1.0
49647,59869,1.0
49647,63309,1.0
59869,63309,1.0
49647,168141,1.0
127960,195168,1.0
40479,263013,1.0
40479,107031,1.0
59869,168141,1.0
60252,329440,1.0
107031,198462,1.0
77647,294432,0.9978658536585366
19947,139527,0.9971455756422455
71607,307748,0.99
67893,189763,0.9875
30254,292994,0.9867986798679867
84354,99176,0.9857142857142858
9890,134345,0.9846153846153847
41157,134345,0.9846153846153847
25084,86967,0.9843988987457938
9890,50336,0.984375
167541,173768,0.9821428571428571
112474,241351,0.9814126394052045
25084,294432,0.9813967673071058
260734,262614,0.9803921568627451
86967,294432,0.9800060587700696
168141,286014,0.98
68284,168141,0.98
49647,255658,0.98
168141,255658,0.98
117141,124614,0.98
49647,286014,0.98
59869,286014,0.98
59869,63366,0.98
59869,255658,0.98
49647,63366,0.98
49647,68284,0.98
63309,286014,0.98
59869,68284,0.98
63309,255658,0.98
63309,68284,0.98
278169,310906,0.98
63309,63366,0.98
63366,168141,0.98
25084,77647,0.9793061472915399
242889,271504,0.9781021897810219
77647,86967,0.977932285368803
282,27226,0.9777777777777777
41012,300048,0.9772727272727273
98837,294406,0.975609756097561
76755,103216,0.9698492462311558
9890,41157,0.9692307692307692
50336,134345,0.9692307692307692
241273,296245,0.9678714859437751
103228,180562,0.9666666666666667
50012,174815,0.9650793650793651
4989,288655,0.9642857142857143
20860,39534,0.9629629629629629
216913,310906,0.9607843137254902
53278,193817,0.9607843137254902
63366,68284,0.96
68284,286014,0.96
255658,286014,0.96
63366,286014,0.96
68284,255658,0.96
156310,216913,0.96
63366,255658,0.96
60944,311877,0.9591836734693877
242906,290377,0.9571428571428572
203482,280374,0.9555555555555556
7753,71778,0.954954954954955
168184,258335,0.9545454545454546
41157,50336,0.9538461538461539
159358,198214,0.9538461538461539
198214,275979,0.9538461538461539
57536,251649,0.9534883720930233
83880,261244,0.9533291848164281
134572,159358,0.953125
26612,142948,0.9512195121951219
113046,294406,0.9512195121951219
20860,189763,0.9512195121951219
147443,167839,0.9491525423728814
62868,134061,0.9473684210526315
68753,174216,0.9465648854961832
65621,263838,0.9464285714285714
198820,263838,0.9464285714285714
135882,288844,0.9459459459459459
86458,242505,0.9454545454545454
234484,263838,0.9454545454545454
73177,154923,0.9454545454545454
63309,199922,0.9433962264150944
59869,199922,0.9433962264150944
168141,199922,0.9433962264150944
49647,199922,0.9433962264150944
77647,174815,0.9420500873616774
