| user1 | user2 | sim. | user1 | user2 | sim. | user1 | user2 | sim. | user1 | user2 | sim. | user1 | user2 | sim. |
| ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 198462 | 263013 | 1.000 | 30254 | 292994 | 0.987 | 49647 | 63366 | 0.980 | 50012 | 174815 | 0.965 | 57536 | 251649 | 0.953 |
| 40479 | 198462 | 1.000 | 84354 | 99176 | 0.986 | 49647 | 68284 | 0.980 | 4989 | 288655 | 0.964 | 83880 | 261244 | 0.953 |
| 38929 | 322547 | 1.000 | 9890 | 134345 | 0.985 | 63309 | 286014 | 0.980 | 20860 | 39534 | 0.963 | 134572 | 159358 | 0.953 |
| 63309 | 168141 | 1.000 | 41157 | 134345 | 0.985 | 59869 | 68284 | 0.980 | 216913 | 310906 | 0.961 | 26612 | 142948 | 0.951 |
| 107031 | 263013 | 1.000 | 25084 | 86967 | 0.984 | 63309 | 255658 | 0.980 | 53278 | 193817 | 0.961 | 113046 | 294406 | 0.951 |
| 137812 | 181530 | 1.000 | 9890 | 50336 | 0.984 | 63309 | 68284 | 0.980 | 63366 | 68284 | 0.960 | 20860 | 189763 | 0.951 |
| 49647 | 59869 | 1.000 | 167541 | 173768 | 0.982 | 278169 | 310906 | 0.980 | 68284 | 286014 | 0.960 | 147443 | 167839 | 0.949 |
| 49647 | 63309 | 1.000 | 112474 | 241351 | 0.981 | 63309 | 63366 | 0.980 | 255658 | 286014 | 0.960 | 62868 | 134061 | 0.947 |
| 59869 | 63309 | 1.000 | 25084 | 294432 | 0.981 | 63366 | 168141 | 0.980 | 63366 | 286014 | 0.960 | 68753 | 174216 | 0.947 |
| 49647 | 168141 | 1.000 | 260734 | 262614 | 0.980 | 25084 | 77647 | 0.979 | 68284 | 255658 | 0.960 | 65621 | 263838 | 0.946 |
| 127960 | 195168 | 1.000 | 86967 | 294432 | 0.980 | 242889 | 271504 | 0.978 | 156310 | 216913 | 0.960 | 198820 | 263838 | 0.946 |
| 40479 | 263013 | 1.000 | 168141 | 286014 | 0.980 | 77647 | 86967 | 0.978 | 63366 | 255658 | 0.960 | 135882 | 288844 | 0.946 |
| 40479 | 107031 | 1.000 | 68284 | 168141 | 0.980 | 282 | 27226 | 0.978 | 60944 | 311877 | 0.959 | 86458 | 242505 | 0.945 |
| 59869 | 168141 | 1.000 | 49647 | 255658 | 0.980 | 41012 | 300048 | 0.977 | 242906 | 290377 | 0.957 | 234484 | 263838 | 0.945 |
| 60252 | 329440 | 1.000 | 168141 | 255658 | 0.980 | 98837 | 294406 | 0.976 | 203482 | 280374 | 0.956 | 73177 | 154923 | 0.945 |
| 107031 | 198462 | 1.000 | 117141 | 124614 | 0.980 | 76755 | 103216 | 0.970 | 7753 | 71778 | 0.955 | 63309 | 199922 | 0.943 |
| 77647 | 294432 | 0.998 | 49647 | 286014 | 0.980 | 9890 | 41157 | 0.969 | 168184 | 258335 | 0.955 | 59869 | 199922 | 0.943 |
| 19947 | 139527 | 0.997 | 59869 | 286014 | 0.980 | 50336 | 134345 | 0.969 | 41157 | 50336 | 0.954 | 168141 | 199922 | 0.943 |
| 71607 | 307748 | 0.990 | 59869 | 63366 | 0.980 | 241273 | 296245 | 0.968 | 159358 | 198214 | 0.954 | 49647 | 199922 | 0.943 |
| 67893 | 189763 | 0.988 | 59869 | 255658 | 0.980 | 103228 | 180562 | 0.967 | 198214 | 275979 | 0.954 | 77647 | 174815 | 0.942 |
